ID,Longtitude,Latitude,Connection1,Connection2
482708506,-80.7411574,35.3128789,6800762230,
6800762230,-80.7410810,35.3128257,482708506,729711933
729711933,-80.7409553,35.3127422,6800762230,729710897
729710897,-80.7408029,35.3126319,729711933,6800772273
6800772273,-80.7407507,35.3125956,729710897,482708528
482708528,-80.7404536,35.3123886,6800772273,482708529
482708529,-80.7403506,35.3122765,482708528,482708530
482708530,-80.7402476,35.3121084,482708529,482708531
482708531,-80.7402024,35.3119758,482708530,482708532
482708532,-80.7405137,35.3118353,482708531,653810709
653810709,-80.7406714,35.3117000,482708532,729711131
729711131,-80.7407600,35.3116344,653810709,482708533
482708533,-80.7408484,35.3115481,729711131,653810618
653810618,-80.7409142,35.3114830,482708533,729711280
729711280,-80.7410769,35.3113221,653810618,729711324
729711324,-80.7412658,35.3111354,729711280,653810622
653810622,-80.7413538,35.3110484,729711324,6800762336
6800762336,-80.7413875,35.3110150,653810622,653810625
653810625,-80.7414077,35.3109950,6800762336,729715371
729715371,-80.7414476,35.3109512,653810625,
